url,status,title,email,phone,address,copyright
dorpsraaddekoet.nl,Error: [Failure instance: Traceback: <class 'scrapy.exceptions.IgnoreRequest'>: Forbidden by robots.txt,,,,,
https://carinabv.nl,200,Carina BV - Leliekwekerij,,,,
detrieme.nl,Error: [Failure instance: Traceback: <class 'twisted.web._newclient.ResponseNeverReceived'>: [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion: Connection lost.>],,,,,
https://www.bowbouw.nl/,200,BOWW Bouw bv,,,,
https://www.liftingplus.nl/,200,LiftingPlus | Hijsen met visie,mailto:info@liftingplus.nl,tel:0522820905,,"Copyright © 2023 Lifting Plus, alle rechten voorbehouden   |  "
https://www.sunder-bromfietsen.nl/,200,Specialist in bromfietsen - Sunder Bromfietsen,mailto:info@sunder-bromfietsen.nl,tel:0152572988,,© 2024 - Sunder Bromfietsen
https://oneflow.com,200,"Oneflow - Less contract admin, more contract magic",,,,
https://nemohealthcare.com,200,"Nemo Healthcare - Veilige bevallingen, gezonde kinderen",mailto:info@nemohealthcare.com,,,© 2023 – Nemo Healthcare
https://www.horti-consult.nl/en,200,Horti Consult International,,,,© 2020 - 2024 Horti Consult International.
pro-pno.nl,Error: [Failure instance: Traceback: <class 'scrapy.spidermiddlewares.httperror.HttpError'>: Ignoring non-200 response,,,,,
https://vanlimptagri.nl,200,Welkom | vanlimptagri.nl,,,,© 2013 Van Limpt Agri | Alle rechten voorbehouden
snijders-tilburg.nl,Error: [Failure instance: Traceback: <class 'twisted.internet.error.DNSLookupError'>: DNS lookup failed: no results for hostname lookup: snijders-tilburg.nl.,,,,,
https://wijnen-tuinen.nl/cgi-sys/defaultwebpage.cgi,200,Default Web Site Page,mailto:webmaster@wijnen-tuinen.nl,,,"Copyright © 2024 cPanel, L.L.C."
https://www.diorheavylift.com/,200,DIOR Heavylift - 30 jaar ervaring in industriële verhuizingen,mailto:info@diorheavylift.com,tel:+31162684154,,
https://www.ekomenu.nl/,200,Ekomenu,,,,
ritonoptics.com,Error: [Failure instance: Traceback: <class 'twisted.web._newclient.ResponseNeverReceived'>: [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion: Connection lost.>],,,,,
https://www.jacvandamverzekeringen.nl/,200,Jac. van Dam Verzekeringen,mailto:info@jacvandamverzekeringen.nl,tel: 0252-221670,,© 2024
https://bouwsupport1.nl,200,bouwsupport 1 – projectmanagement,,,,© bouwsupport 1 2020 -
https://www.coatingplus.nl/,200,Poedercoaten voor bedrijven en particulieren | Coating Plus,,,,
evict.nl,Error: [Failure instance: Traceback: <class 'twisted.web._newclient.ResponseNeverReceived'>: [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion: Connection lost.>],,,,,
https://via-wim.nl,200,Home - VIA Wim | Hulp bij verzuim en arbo gerelateerde kwesties,,,,© Via Wim    |   
https://procesmedia.nl,200,Proces Media - Start de communicatie met de procesindustrie,,,,
https://www.odincompany.com/,200,Odin Company,,,,© Copyright 2018 - 
