url,status,title,email,phone,address,copyright
https://beeldenbouwers.nl,200,Domain Default page,,,,
janbuisbaarn.nl,Error: [Failure instance: Traceback: <class 'scrapy.spidermiddlewares.httperror.HttpError'>: Ignoring non-200 response,,,,,
adviesbedrijfcnossen.nl,Error: [Failure instance: Traceback: <class 'scrapy.spidermiddlewares.httperror.HttpError'>: Ignoring non-200 response,,,,,
zutphenaanzet.nl,Error: [Failure instance: Traceback: <class 'twisted.internet.error.DNSLookupError'>: DNS lookup failed: no results for hostname lookup: zutphenaanzet.nl.,,,,,
https://gjgmedia.nl,200,Saus Media,,,,
https://henkvdzanden.nl,200,Praktijk Henk van der Zanden | Zelfontwikkeling | Coaching | cursus,mailto:info@henkvdzanden.nl,,,© Henk van der Zanden |
https://beexrealestate.com,200,BEEX Real Estate Investment - Sell and Buy,mailto:info@beexrealestate.com,tel:+31 20 209 1573,,
https://vinkenveenmedia.nl,200,Hostnet: De grootste domeinnaam- en hostingprovider van Nederland.,,,,
https://www.pernexus.nl/,200,Pernexus - IT Solutions,mailto:info@pernexus.nl,,,© Copyright 2024 Pernexus
https://podotherapierotterdam.nl,200,Home - Podotherapie Rotterdam,,,,
accountancydirect.nl,Error: [Failure instance: Traceback: <class 'twisted.internet.error.DNSLookupError'>: DNS lookup failed: no results for hostname lookup: accountancydirect.nl.,,,,,
componenthardware.com,Error: [Failure instance: Traceback: <class 'scrapy.spidermiddlewares.httperror.HttpError'>: Ignoring non-200 response,,,,,
https://www.issos.nl/,200,ISSOS,mailto:info@issos.nl?subject=Algemene%20vraag,tel:+310297343000,Molenvlietweg 18,
lucidoptiek.nl,Error: [Failure instance: Traceback: <class 'twisted.web._newclient.ResponseNeverReceived'>: [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion: Connection lost.>],,,,,
https://commavastgoed.nl,200,Makelaar Amersfoort - Comma Vastgoed,mailto:info@commavastgoed.nl,tel:033 445 07 05,routebeschrijving,
https://www.sjerpstuinen.nl/,200,[None],mailto:info@sjerpstuinen.nl,tel:0229563180,,
https://www.solarloods.nl/,200,Zonnepanelen kopen online - Doe het zelf | Webshop Solarloods - Solarloods ,,tel:0854015954,,© Solarloods
https://www.hurkmansfinancieeladvies.nl/,200,Hypotheek- en verzekeringsadvies van start tot finish - Hurkmans Financieel Advies Gennep/Boxmeer,,tel:+31485849320,,
https://handhavingsupport.nl,200,Handhaving Support – Partner voor de publieke sector op het gebied van het Leefbaarheid en Veiligheidsdomein,mailto:info@hsup.nl,tel:085 782 52 00,,©
wilkbeglazing.nl,Error: [Failure instance: Traceback: <class 'twisted.internet.error.DNSLookupError'>: DNS lookup failed: no results for hostname lookup: wilkbeglazing.nl.,,,,,
https://extrabouwen.nl,200,EXTRA Bouwen - bouwbedrijf Enschede,mailto:info@extrabouwen.nl,tel:0534304304,Route,© EXTRA Bouwen B.V. | Bouw
https://thebabyconceptstore.nl,200,Bij The Baby Conceptstore maken wij zwangerschapsbeeldjes.,mailto:info@thebabyconceptstore.nl,tel:0031-6-58760638,"Trambaan 125a 1733 AX, Nieuwe Niedorp",© 2024
https://easytimes.amsterdam,200,Easy Times Amsterdam,,,,
https://popescu-advocaten.nl,200,Popescu Advocaten – Advocatenkantoor Amsterdam,mailto:popescu@popescu-advocaten.nl,tel:+31208114266,,
https://banekearchitecten.nl,200,baneke architekten,,,,
https://www.marcusantonius.nl/,200,Marcus Antonius - Alles zelfgemaakt & verbonden met ons dorp,,tel:0487595110,,© Copyright 2024 - Realisatie
goeree-overflakee.nl,Error: [Failure instance: Traceback: <class 'twisted.internet.error.DNSLookupError'>: DNS lookup failed: no results for hostname lookup: goeree-overflakee.nl.,,,,,
https://zeilcharter.nl,200,"Plattboden mieten : Zeilcharter.nl, alle schepen van de bruine vloot.",,,,
https://ha-europe.com,200,Heritage Auctions Europe | Auctions & Appraisals,mailto:?ha-europe.com,tel:+31306063944,,© 2024 Heritage Auctions Europe | All rights reserved |
https://vanhoutkoeriersdienst.nl,200,Home - van Hout Koeriersdienst,mailto:info@vanhoutkoeriersdienst.nl,,,© van Hout Koeriersdienst 2016 |
gavysh.com,Error: [Failure instance: Traceback: <class 'scrapy.spidermiddlewares.httperror.HttpError'>: Ignoring non-200 response,,,,,
https://edpellens.nl/,200,Ed Pellens Hout & Bouw,mailto:%20info@edpellens.nl,tel:+31615032427,,Copyright © 2024 Ed Pellens Hout & Bouw
vdwalkonstructie.nl,Error: [Failure instance: Traceback: <class 'twisted.internet.error.DNSLookupError'>: DNS lookup failed: no results for hostname lookup: vdwalkonstructie.nl.,,,,,
https://www.pvaconsulting.be/,200,PVA Consulting,,,,
https://blomfood.com,200,Home - Blom Food B.V.,,,,© 2024
flyingairporttaxi.nl,Error: [Failure instance: Traceback: <class 'twisted.internet.error.DNSLookupError'>: DNS lookup failed: no results for hostname lookup: flyingairporttaxi.nl.,,,,,
https://www.natuurlijk-avontuurlijk.nl/,200,Kom langs bij ons kinderdagverblijf in Culemborg - Natuurlijk Avontuurlijk,mailto:info@natuurlijk-avontuurlijk.nl,tel:0345533880,,
https://sedo.com/search/details/?domain=onlinepositionering.nl&campaignId=329145&origin=sales_lander_15,200,Domain Details Page,,,,
https://jumpingpalace.nl,200,Springkussen Verhuur en meer! Alles voor een geweldig feest!,,,,
https://tompostmadesign.nl,200,Tom Postma Design - Tom Postma Design,,,,
https://inderoos.nl,200,Secured Home of inderoos.nl,,,,
piket-advies.nl,Error: [Failure instance: Traceback: <class 'scrapy.spidermiddlewares.httperror.HttpError'>: Ignoring non-200 response,,,,,
https://www.amsdiensten.nl/,200,AMS Diensten | Transport en Logistiek |,mailto:info@amsdiensten.nl,,,
https://fundiq.nl,200,Home Page - FundIQ,mailto:info@fundiq.nl,tel:0202404226,,©2024 fundIQ
https://www.systemsnavigator.com/,200,"Systems Navigator | digital twin | Delft, Netherlands",mailto:info@systemsnavigator.com,,,
https://oraltechniek.nl,200,[None],,,,
https://www.plantex.nl/,200,Plantex ,,,,"© 2023 Plantex, Overslag 14, 2771 CE  Boskoop - The Netherlands"
hoefsevondertotaal.nl,Error: [Failure instance: Traceback: <class 'twisted.internet.error.DNSLookupError'>: DNS lookup failed: no results for hostname lookup: hoefsevondertotaal.nl.,,,,,
https://autobedrijfvanbergen.nl,200,Hét betrouwbare occasion adres,,,,"var x = document.getElementsByClassName(""copyright""); var i; for (i = 0; i < x.length; i++) { x[i].innerHTML= ""© MF-Engineering.nl""; }"
https://movementontheground.com,200,Movement On The Ground - Empowering communities Transforming lives,,,,
https://claasenshipyards.com,200,Home | Claasen Shipyards,,,,© 2014 Claasen Shipyards
mindatwork.org,Error: [Failure instance: Traceback: <class 'scrapy.exceptions.IgnoreRequest'>: Forbidden by robots.txt,,,,,
https://inpublic.nl,200,Welkom bij InPublic,mailto:info@inpublic.nl,tel:+010-3031860,,
https://flincq.nl,200,Under contruction,,,,
https://www.steentjesict.nl/,200,"Veilig, zorgeloos en digitaal (samen)werken | Steentjes ICT",mailto:info@steentjesict.nl,tel:0544724190,,© 2023 Steentjes ICT
https://www.beat-fabriek.nl/,200,"Beatfabriek Electronic Music Professional | electronic music production amsterdam | Transformatorweg 30, 1014 AK Amsterdam, Netherlands",mailto:info@beat-fabriek.nl,,,©2024 by Beatfabriek.
https://synital.nl,200,Synital - International IT Consultancy - Synital B.V.,,,,Copyright © 2024 Synital B.V.
https://wyckerveste.nl,200,Wyckerveste – Where vision gets built,,tel:+31455431245,,© 2024 ALL RIGHTS RESERVED
https://autobedrijferikdeelen.nl,200,Autobedrijf Erik Deelen Someren | Huur auto's | Occasions | Schadetaxatie,mailto:info@autobedrijferikdeelen.nl,tel://0493471398,,Autobedrijf Erik Deelen Someren • © 2024 •  
https://www.katinn.nl/,200,Home - Kat Inn KattenHotel,mailto:info@katinn.nl,,,© Kat Inn Kattenhotel Rotterdam
https://www.traveledge.com/,200,Luxury Travel Advisors & Agent Host Agency Network | TravelEdge,,tel:18338303343,,Copyright © 2024
actiefbijdementie.nl,Error: [Failure instance: Traceback: <class 'scrapy.exceptions.IgnoreRequest'>: Forbidden by robots.txt,,,,,
https://forest-it.nl,200,Home - Forest-IT,mailto:email@example.com,tel:+12 34 56 78,,
https://arnhemnoordfysiotherapie.nl,200,Home - Arnhem Noord Fysiotherapie,mailto:info@arnhemnoordfysiotherapie.nl,,,© Copyright -
https://www.vevon.nl/,200,Vevon - Hèt adres voor tijdelijke en permanente verkeersvoorzieningen,mailto:info@vevon.nl,tel:013%20-%2021%2032%20202,,Copyright ©
bijdicentra.nl,Error: [Failure instance: Traceback: <class 'twisted.internet.error.DNSLookupError'>: DNS lookup failed: no results for hostname lookup: bijdicentra.nl.,,,,,
https://www.truecolorspublisher.com/,200,True Colors Publisher uitgeverij,,,,"Copyright © 2024,"
https://www.bakkerij-jorritsma.nl/,200,"
      Home | Bakkerij Jorritsma
    ",mailto:info@bakkerij-jorritsma.nl,tel:0519-296555,,
crowdcenter.nl,Error: [Failure instance: Traceback: <class 'twisted.internet.error.DNSLookupError'>: DNS lookup failed: no results for hostname lookup: crowdcenter.nl.,,,,,
https://www.lunika.nl/,200,Duurzame bedrijfskleding en uitrusting voor medewerkers - LUNIKA,,tel:+31356669774,,© 2024 LUNIKA. Alle rechten voorbehouden.
https://natuurlijkbamboe.nl,200,Natuurlijk Bamboe | Specialist in bamboe vloeren,mailto:info@natuurlijkbamboe.nl,tel:0850161633,Morad Mor,
https://www.crossworx.nl/,200,Datagedreven marketing voor het MKB - Crossworx.nl,mailto:info@crossworx.nl,tel:010%20-%20251%208087,Locatie,© 2020 Crossworx
https://www.burosmit.nl/,200,Home - Buro Smit - Bouwkundig Ontwerp Advies,mailto:info@burosmit.nl,,,
https://campingdemeibeek.nl,200,Camping de Meibeek ,mailto:info@campingdemeibeek.nl,,,© Camping de Meibeek 2024
https://www.tbhstore.nl/,200,Home | TBHstore.nl,mailto:info@TBHstore.nl,,,© 2018 - 2024 TBHstore.nl |
https://ceelensecurity.nl,200, Ceelen Security ,mailto:info@ceelensecurity.nl,,,
sandrasflowersandmore.nl,Error: [Failure instance: Traceback: <class 'scrapy.spidermiddlewares.httperror.HttpError'>: Ignoring non-200 response,,,,,
joep.nl,Error: [Failure instance: Traceback: <class 'scrapy.exceptions.IgnoreRequest'>: Forbidden by robots.txt,,,,,
https://flestic.com,200,Productie van kunststof verpakkingsoplossingen op maat,mailto:info@flestic.com,tel:+31321316510,,
vloerenkeus.nl,Error: [Failure instance: Traceback: <class 'twisted.web._newclient.ResponseNeverReceived'>: [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion: Connection lost.>],,,,,
https://micro-tech-europe.com/en/,200,Home - MICRO-TECH EUROPE,mailto:contact@MICRO-TECH-europe.com,tel:+4921173276260,,© 2024 MICRO-TECH EUROPE.
https://www.handoffatima.nl/,200,"Henna Kunst is verheven tot een lifestyle, | Hand of Fatima",mailto:info@handoffatima.nl,,,Copyright © 2005-2024 Hand of Fatima. Alle rechten voorbehouden.
sndvastgoed.nl,Error: [Failure instance: Traceback: <class 'scrapy.spidermiddlewares.httperror.HttpError'>: Ignoring non-200 response,,,,,
reitex.nl,Error: [Failure instance: Traceback: <class 'twisted.internet.error.DNSLookupError'>: DNS lookup failed: no results for hostname lookup: reitex.nl.,,,,,
https://www.helmus.nl/,200,A. Helmus B.V. | Home,mailto:info@helmus.nl,tel:+0252222580,,
https://www.gedo.nl/,200,"GEDO, agarisch advies en agrarische producten - GEDO.nl",,tel:0342444507,,
https://www.roethofadvocaten.nl/,200,Roethof Advocaten – Arnhem,mailto:info@roethofadvocaten.nl,,,
https://fiets-o-fit.nl,200,Home - Fiets-O-Fit,mailto:info@fiets-o-fit.nl,,,document.write(new Date().getFullYear())
https://janscheffer.nl,200,[None],,,,
https://thebodystudio.nl,200,"Semi private personal training Amsterdam Zuid, West en Oost.",mailto:info@thebodystudio.nl,tel:0031202157148,,
kusch.nl,Error: [Failure instance: Traceback: <class 'twisted.internet.error.DNSLookupError'>: DNS lookup failed: no results for hostname lookup: kusch.nl.,,,,,
nlurbansolutions.com,Error: [Failure instance: Traceback: <class 'twisted.web._newclient.ResponseNeverReceived'>: [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion: Connection lost.>],,,,,
https://mnbestratingen.nl,200,Tuin laten bestraten in Almere | M&N Bestratingen | jaren ervaring,,tel:0614795985,,Copyright © 2021 – 2024 M&N Bestratingen
nlbb.nl,Error: [Failure instance: Traceback: <class 'twisted.internet.error.DNSLookupError'>: DNS lookup failed: no results for hostname lookup: nlbb.nl.,,,,,
https://www.sandboxcompany.nl/,200,SANDBOXcompany - Executiekracht voor elk team met de SANDBOX werkmethode,,tel:0031623436614,,
https://zeelanderij.nl/nl,200,Home | Zeelanderij,,tel:0031111401424,,
https://uxem.com,200,Home - Uxem,mailto:sales@uxem.com,tel:0031320219622,,© Copyright Uxem 2024
https://www.fruit-valley.nl/,200,Fruit Valley – Importeur groente en fruit,,,,© Copyright - Fruit Valley BV
