url,status,title,email,phone,address,copyright
implicari.nl,Error: [Failure instance: Traceback: <class 'twisted.internet.error.DNSLookupError'>: DNS lookup failed: no results for hostname lookup: implicari.nl.,,,,,
applied-risk.com,Error: [Failure instance: Traceback: <class 'scrapy.spidermiddlewares.httperror.HttpError'>: Ignoring non-200 response,,,,,
https://janreijnen.nl,200,Enorm Jan Reijnen B.V.,,,,
dbholding.eu,Error: [Failure instance: Traceback: <class 'scrapy.spidermiddlewares.httperror.HttpError'>: Ignoring non-200 response,,,,,
https://www.luitec.nl,200,Luitec - Homepage,mailto:info@luitec.nl,tel:+31885012700,,©2023 van Stenis Group.
https://labelfriends.nl,200,Web Server's Default Page,,,,
https://fysiolemsterpark.nl/,200,Fysio Lemsterpark,,tel:0031514563528,,
https://www.stas.nl/,200,"
      Ophangsysteem? Die koop je bij STAS schilderij ophangsystemen!
 – STAS.nl",mailto:info@stas.nl,tel:040-292 48 48,,"© 2024,"
https://www.tandartspraktijkalkmaar.com/,200,Tandartspraktijk Alkmaar in Alkmaar - Tandarts,mailto:info@tandartspraktijkalkmaar.com,,,©
https://dateroom.nl,200,"    Dateroom.nl is te koop!
",mailto:info@domainbroker.nl,,,© 2017-2024
https://www.floryn.com:443/,200,Financiering aanvragen bij Floryn. Zakelijke financiering van nu,,tel:+31738511545,,© Floryn B.V. 2024
https://franssenschilderwerken.nl,200,"Voor een vakkundige schilder of schildersbedrijf in de regio Melick, Roermond of Herkenbosch dan bent u bij Franssen Schilderwerken aan het juiste adres.",mailto:info@franssenschilderwerken.nl,tel:0475 597225,,
care-automatisering.nl,Error: [Failure instance: Traceback: <class 'scrapy.spidermiddlewares.httperror.HttpError'>: Ignoring non-200 response,,,,,
https://kosmetiek.com,200,Welkom - Kosmetiek,,,,©2024 Kosmetiek
kamerraad.nl,Error: [Failure instance: Traceback: <class 'scrapy.spidermiddlewares.httperror.HttpError'>: Ignoring non-200 response,,,,,
pakfood.nl,Error: [Failure instance: Traceback: <class 'scrapy.spidermiddlewares.httperror.HttpError'>: Ignoring non-200 response,,,,,
https://digispark.nl,200,[None],,,,
life.nl,Error: [Failure instance: Traceback: <class 'scrapy.spidermiddlewares.httperror.HttpError'>: Ignoring non-200 response,,,,,
https://www.nobugsystems.com/domein-gereserveerd/,200,Domein gereserveerd - Nobug Systems,,,,© Nobug Systems
docter-enschede.nl,Error: [Failure instance: Traceback: <class 'twisted.web._newclient.ResponseNeverReceived'>: [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion: Connection lost.>],,,,,
https://atroost.nl,200,A Troost Hypotheken & Verzekeringen - HOME,mailto:info@atroost.nl,,,
http://vdegroot.nl/,200,TransIP - Reserved domain,,,,
https://www.buphagidea.com/,200,Home Page,mailto:info@buphagidea.com,,,
https://tbschilder.nl,200,[None],,,,
https://company-finance.nl,200,Company Finance | Uw onafhankelijke intermediair,,,,©reated by REYEZ!
